,County,State,Population,State and County
1879,Washington,NY,"60,858",NY Washington
1880,Wayne,NY,"91,149",NY Wayne
1881,Westchester,NY,"999,856",NY Westchester
1882,Wyoming,NY,"39,927",NY Wyoming
1883,Yates,NY,"24,638",NY Yates
1884,Alamance,NC,"173,968",NC Alamance
1885,Alexander,NC,"36,364",NC Alexander
1886,Alleghany,NC,"11,079",NC Alleghany
1887,Anson,NC,"21,905",NC Anson
1888,Ashe,NC,"26,757",NC Ashe
1889,Avery,NC,"17,522",NC Avery
1890,Beaufort,NC,"44,462",NC Beaufort
1891,Bertie,NC,"17,371",NC Bertie
1892,Bladen,NC,"29,544",NC Bladen
1893,Brunswick,NC,"144,843",NC Brunswick
1894,Buncombe,NC,"271,945",NC Buncombe
1895,Burke,NC,"87,589",NC Burke
1896,Cabarrus,NC,"231,788",NC Cabarrus
1897,Caldwell,NC,"80,547",NC Caldwell
1898,Camden,NC,"10,821",NC Camden
1899,Carteret,NC,"68,729",NC Carteret
1900,Caswell,NC,"22,691",NC Caswell
1901,Catawba,NC,"161,675",NC Catawba
1902,Chatham,NC,"78,141",NC Chatham
1903,Cherokee,NC,"29,194",NC Cherokee
1904,Chowan,NC,"13,761",NC Chowan
1905,Clay,NC,"11,375",NC Clay
1906,Cleveland,NC,"100,341",NC Cleveland
1907,Columbus,NC,"50,020",NC Columbus
1908,Craven,NC,"100,396",NC Craven
1909,Cumberland,NC,"337,888",NC Cumberland
1910,Currituck,NC,"29,700",NC Currituck
1911,Dare,NC,"37,914",NC Dare
1912,Davidson,NC,"170,717",NC Davidson
1913,Davie,NC,"43,652",NC Davie
1914,Duplin,NC,"48,558",NC Duplin
1915,Durham,NC,"329,849",NC Durham
1916,Edgecombe,NC,"48,333",NC Edgecombe
1917,Forsyth,NC,"386,376",NC Forsyth
1918,Franklin,NC,"71,832",NC Franklin
1919,Gaston,NC,"231,277",NC Gaston
1920,Gates,NC,"10,403",NC Gates
1921,Graham,NC,"8,008",NC Graham
1922,Granville,NC,"61,365",NC Granville
1923,Greene,NC,"20,280",NC Greene
1924,Guilford,NC,"542,495",NC Guilford
1925,Halifax,NC,"48,353",NC Halifax
1926,Harnett,NC,"135,586",NC Harnett
1927,Haywood,NC,"62,522",NC Haywood
1928,Henderson,NC,"117,155",NC Henderson
1929,Hertford,NC,"19,953",NC Hertford
1930,Hoke,NC,"53,179",NC Hoke
1931,Hyde,NC,"4,643",NC Hyde
1932,Iredell,NC,"192,186",NC Iredell
1933,Jackson,NC,"42,587",NC Jackson
1934,Johnston,NC,"227,302",NC Johnston
1935,Jones,NC,"9,210",NC Jones
1936,Lee,NC,"64,052",NC Lee
1937,Lenoir,NC,"54,683",NC Lenoir
1938,Lincoln,NC,"89,941",NC Lincoln
1939,McDowell,NC,"44,530",NC McDowell
1940,Macon,NC,"37,470",NC Macon
1941,Madison,NC,"21,728",NC Madison
1942,Martin,NC,"21,741",NC Martin
1943,Mecklenburg,NC,"1,126,283",NC Mecklenburg
1944,Mitchell,NC,"14,975",NC Mitchell
1945,Montgomery,NC,"25,862",NC Montgomery
1946,Moore,NC,"103,044",NC Moore
1947,Nash,NC,"95,204",NC Nash
1948,New Hanover,NC,"230,019",NC New Hanover
1949,Northampton,NC,"17,116",NC Northampton
1950,Onslow,NC,"206,018",NC Onslow
1951,Orange,NC,"148,693",NC Orange
1952,Pamlico,NC,"12,342",NC Pamlico
1953,Pasquotank,NC,"40,807",NC Pasquotank
1954,Pender,NC,"63,020",NC Pender
1955,Perquimans,NC,"13,117",NC Perquimans
1956,Person,NC,"39,148",NC Person
1957,Pitt,NC,"172,235",NC Pitt
1958,Polk,NC,"19,714",NC Polk
1959,Randolph,NC,"145,154",NC Randolph
1960,Richmond,NC,"42,805",NC Richmond
1961,Robeson,NC,"116,142",NC Robeson
1962,Rockingham,NC,"91,211",NC Rockingham
1963,Rowan,NC,"147,937",NC Rowan
1964,Rutherford,NC,"64,616",NC Rutherford
1965,Sampson,NC,"59,022",NC Sampson
1966,Scotland,NC,"34,285",NC Scotland
1967,Stanly,NC,"63,100",NC Stanly
1968,Stokes,NC,"44,625",NC Stokes
1969,Surry,NC,"71,257",NC Surry
1970,Swain,NC,"14,128",NC Swain
1971,Transylvania,NC,"33,272",NC Transylvania
1972,Tyrrell,NC,"3,379",NC Tyrrell
1973,Union,NC,"244,259",NC Union
1974,Vance,NC,"42,101",NC Vance
1975,Wake,NC,"1,152,301",NC Wake
1976,Warren,NC,"18,798",NC Warren
1977,Washington,NC,"10,883",NC Washington
1978,Watauga,NC,"54,968",NC Watauga
1979,Wayne,NC,"116,857",NC Wayne
1980,Wilkes,NC,"65,826",NC Wilkes
1981,Wilson,NC,"78,241",NC Wilson
1982,Yadkin,NC,"37,276",NC Yadkin
1983,Yancey,NC,"18,764",NC Yancey
1984,Adams,ND,"2,169",ND Adams
1985,Barnes,ND,"10,815",ND Barnes
1986,Benson,ND,"5,773",ND Benson
1987,Billings,ND,963,ND Billings
1988,Bottineau,ND,"6,448",ND Bottineau
1989,Bowman,ND,"2,900",ND Bowman
1990,Burke,ND,"2,154",ND Burke
1991,Burleigh,ND,"98,965",ND Burleigh
1992,Cass,ND,"189,377",ND Cass
1993,Cavalier,ND,"3,680",ND Cavalier
1994,Dickey,ND,"4,901",ND Dickey
1995,Divide,ND,"2,182",ND Divide
1996,Dunn,ND,"4,018",ND Dunn
1997,Eddy,ND,"2,324",ND Eddy
1998,Emmons,ND,"3,257",ND Emmons
1999,Foster,ND,"3,364",ND Foster
2000,Golden Valley,ND,"1,755",ND Golden Valley
2001,Grand Forks,ND,"72,586",ND Grand Forks
2002,Grant,ND,"2,303",ND Grant
2003,Griggs,ND,"2,281",ND Griggs
2004,Hettinger,ND,"2,425",ND Hettinger
2005,Kidder,ND,"2,354",ND Kidder
2006,LaMoure,ND,"4,079",ND LaMoure
2007,Logan,ND,"1,863",ND Logan
2008,McHenry,ND,"5,238",ND McHenry
2009,McIntosh,ND,"2,517",ND McIntosh
2010,McKenzie,ND,"13,858",ND McKenzie
2011,McLean,ND,"9,823",ND McLean
2012,Mercer,ND,"8,339",ND Mercer
2013,Morton,ND,"33,565",ND Morton
2014,Mountrail,ND,"9,562",ND Mountrail
2015,Nelson,ND,"3,049",ND Nelson
2016,Oliver,ND,"1,876",ND Oliver
2017,Pembina,ND,"6,773",ND Pembina
2018,Pierce,ND,"3,944",ND Pierce
2019,Ramsey,ND,"11,611",ND Ramsey
2020,Ransom,ND,"5,682",ND Ransom
2021,Renville,ND,"2,265",ND Renville
2022,Richland,ND,"16,557",ND Richland
2023,Rolette,ND,"12,067",ND Rolette
2024,Sargent,ND,"3,829",ND Sargent
2025,Sheridan,ND,"1,263",ND Sheridan
2026,Sioux,ND,"3,747",ND Sioux
2027,Slope,ND,696,ND Slope
2028,Stark,ND,"33,029",ND Stark
2029,Steele,ND,"1,806",ND Steele
2030,Stutsman,ND,"21,579",ND Stutsman
2031,Towner,ND,"2,128",ND Towner
2032,Traill,ND,"7,987",ND Traill
2033,Walsh,ND,"10,490",ND Walsh
2034,Ward,ND,"69,364",ND Ward
2035,Wells,ND,"3,903",ND Wells
2036,Williams,ND,"38,499",ND Williams
2037,Adams,OH,"27,574",OH Adams
2038,Allen,OH,"101,784",OH Allen
2039,Ashland,OH,"52,183",OH Ashland
2040,Ashtabula,OH,"97,439",OH Ashtabula
2041,Athens,OH,"59,096",OH Athens
2042,Auglaize,OH,"46,255",OH Auglaize
2043,Belmont,OH,"65,899",OH Belmont
2044,Brown,OH,"43,696",OH Brown
2045,Butler,OH,"387,619",OH Butler
2046,Carroll,OH,"26,700",OH Carroll
2047,Champaign,OH,"38,794",OH Champaign
2048,Clark,OH,"135,608",OH Clark
2049,Clermont,OH,"209,893",OH Clermont
2050,Clinton,OH,"42,115",OH Clinton
2051,Columbiana,OH,"101,352",OH Columbiana
2052,Coshocton,OH,"36,658",OH Coshocton
2053,Crawford,OH,"41,782",OH Crawford
2054,Cuyahoga,OH,"1,247,496",OH Cuyahoga
2055,Darke,OH,"51,642",OH Darke
2056,Defiance,OH,"38,170",OH Defiance
2057,Delaware,OH,"221,282",OH Delaware
2058,Erie,OH,"74,886",OH Erie
2059,Fairfield,OH,"161,209",OH Fairfield
2060,Fayette,OH,"28,934",OH Fayette
2061,Franklin,OH,"1,317,346",OH Franklin
2062,Fulton,OH,"42,499",OH Fulton
2063,Gallia,OH,"29,224",OH Gallia
2064,Geauga,OH,"95,708",OH Geauga
2065,Greene,OH,"168,236",OH Greene
2066,Guernsey,OH,"38,287",OH Guernsey
2067,Hamilton,OH,"827,430",OH Hamilton
2068,Hancock,OH,"74,764",OH Hancock
2069,Hardin,OH,"30,448",OH Hardin
2070,Harrison,OH,"14,458",OH Harrison
2071,Henry,OH,"27,560",OH Henry
2072,Highland,OH,"43,444",OH Highland
2073,Hocking,OH,"28,101",OH Hocking
2074,Holmes,OH,"44,349",OH Holmes
2075,Huron,OH,"58,412",OH Huron
2076,Jackson,OH,"32,539",OH Jackson
2077,Jefferson,OH,"65,085",OH Jefferson
2078,Knox,OH,"62,543",OH Knox
2079,Lake,OH,"232,222",OH Lake
2080,Lawrence,OH,"57,408",OH Lawrence
2081,Licking,OH,"180,021",OH Licking
2082,Logan,OH,"46,158",OH Logan
2083,Lorain,OH,"314,216",OH Lorain
2084,Lucas,OH,"429,482",OH Lucas
