,County,State,Population,State and County
2329,Fairfield,SC,"20,695",SC Fairfield
2330,Florence,SC,"136,401",SC Florence
2331,Georgetown,SC,"63,925",SC Georgetown
2332,Greenville,SC,"534,648",SC Greenville
2333,Greenwood,SC,"69,126",SC Greenwood
2334,Hampton,SC,"18,244",SC Hampton
2335,Horry,SC,"366,093",SC Horry
2336,Jasper,SC,"30,431",SC Jasper
2337,Kershaw,SC,"66,205",SC Kershaw
2338,Lancaster,SC,"100,529",SC Lancaster
2339,Laurens,SC,"67,835",SC Laurens
2340,Lee,SC,"16,272",SC Lee
2341,Lexington,SC,"300,650",SC Lexington
2342,McCormick,SC,"9,764",SC McCormick
2343,Marion,SC,"28,852",SC Marion
2344,Marlboro,SC,"26,235",SC Marlboro
2345,Newberry,SC,"37,968",SC Newberry
2346,Oconee,SC,"79,318",SC Oconee
2347,Orangeburg,SC,"82,815",SC Orangeburg
2348,Pickens,SC,"132,097",SC Pickens
2349,Richland,SC,"417,294",SC Richland
2350,Saluda,SC,"18,822",SC Saluda
2351,Spartanburg,SC,"335,397",SC Spartanburg
2352,Sumter,SC,"104,854",SC Sumter
2353,Union,SC,"27,010",SC Union
2354,Williamsburg,SC,"30,418",SC Williamsburg
2355,York,SC,"289,201",SC York
2356,Aurora,SD,"2,736",SD Aurora
2357,Beadle,SD,"19,181",SD Beadle
2358,Bennett,SD,"3,389",SD Bennett
2359,Bon Homme,SD,"7,000",SD Bon Homme
2360,Brookings,SD,"34,696",SD Brookings
2361,Brown,SD,"38,117",SD Brown
2362,Brule,SD,"5,243",SD Brule
2363,Buffalo,SD,"1,894",SD Buffalo
2364,Butte,SD,"10,542",SD Butte
2365,Campbell,SD,"1,376",SD Campbell
2366,Charles Mix,SD,"9,184",SD Charles Mix
2367,Clark,SD,"3,873",SD Clark
2368,Clay,SD,"15,165",SD Clay
2369,Codington,SD,"28,484",SD Codington
2370,Corson,SD,"3,849",SD Corson
2371,Custer,SD,"8,639",SD Custer
2372,Davison,SD,"19,899",SD Davison
2373,Day,SD,"5,426",SD Day
2374,Deuel,SD,"4,290",SD Deuel
2375,Dewey,SD,"5,223",SD Dewey
2376,Douglas,SD,"2,811",SD Douglas
2377,Edmunds,SD,"4,034",SD Edmunds
2378,Fall River,SD,"7,213",SD Fall River
2379,Faulk,SD,"2,124",SD Faulk
2380,Grant,SD,"7,552",SD Grant
2381,Gregory,SD,"3,957",SD Gregory
2382,Haakon,SD,"1,835",SD Haakon
2383,Hamlin,SD,"6,264",SD Hamlin
2384,Hand,SD,"3,079",SD Hand
2385,Hanson,SD,"3,510",SD Hanson
2386,Harding,SD,"1,325",SD Harding
2387,Hughes,SD,"17,760",SD Hughes
2388,Hutchinson,SD,"7,377",SD Hutchinson
2389,Hyde,SD,"1,230",SD Hyde
2390,Jackson,SD,"2,864",SD Jackson
2391,Jerauld,SD,"1,645",SD Jerauld
2392,Jones,SD,879,SD Jones
2393,Kingsbury,SD,"5,201",SD Kingsbury
2394,Lake,SD,"10,864",SD Lake
2395,Lawrence,SD,"26,162",SD Lawrence
2396,Lincoln,SD,"67,992",SD Lincoln
2397,Lyman,SD,"3,763",SD Lyman
2398,McCook,SD,"5,718",SD McCook
2399,McPherson,SD,"2,416",SD McPherson
2400,Marshall,SD,"4,324",SD Marshall
2401,Meade,SD,"30,289",SD Meade
2402,Mellette,SD,"1,898",SD Mellette
2403,Miner,SD,"2,311",SD Miner
2404,Minnehaha,SD,"199,904",SD Minnehaha
2405,Moody,SD,"6,305",SD Moody
2406,Oglala Lakota,SD,"13,559",SD Oglala Lakota
2407,Pennington,SD,"111,886",SD Pennington
2408,Perkins,SD,"2,825",SD Perkins
2409,Potter,SD,"2,471",SD Potter
2410,Roberts,SD,"10,172",SD Roberts
2411,Sanborn,SD,"2,373",SD Sanborn
2412,Spink,SD,"6,261",SD Spink
2413,Stanley,SD,"3,035",SD Stanley
2414,Sully,SD,"1,471",SD Sully
2415,Todd,SD,"9,301",SD Todd
2416,Tripp,SD,"5,580",SD Tripp
2417,Turner,SD,"8,679",SD Turner
2418,Union,SD,"16,876",SD Union
2419,Walworth,SD,"5,260",SD Walworth
2420,Yankton,SD,"23,353",SD Yankton
2421,Ziebach,SD,"2,385",SD Ziebach
2422,Anderson,TN,"77,615",TN Anderson
2423,Bedford,TN,"51,184",TN Bedford
2424,Benton,TN,"15,837",TN Benton
2425,Bledsoe,TN,"14,837",TN Bledsoe
2426,Blount,TN,"137,611",TN Blount
2427,Bradley,TN,"109,755",TN Bradley
2428,Campbell,TN,"39,455",TN Campbell
2429,Cannon,TN,"14,537",TN Cannon
2430,Carroll,TN,"28,295",TN Carroll
2431,Carter,TN,"56,080",TN Carter
2432,Cheatham,TN,"41,498",TN Cheatham
2433,Chester,TN,"17,465",TN Chester
2434,Claiborne,TN,"32,061",TN Claiborne
2435,Clay,TN,"7,586",TN Clay
2436,Cocke,TN,"36,364",TN Cocke
2437,Coffee,TN,"58,983",TN Coffee
2438,Crockett,TN,"13,990",TN Crockett
2439,Cumberland,TN,"62,391",TN Cumberland
2440,Davidson,TN,"700,860",TN Davidson
2441,Decatur,TN,"11,402",TN Decatur
2442,DeKalb,TN,"20,500",TN DeKalb
2443,Dickson,TN,"55,174",TN Dickson
2444,Dyer,TN,"36,609",TN Dyer
2445,Fayette,TN,"42,616",TN Fayette
2446,Fentress,TN,"18,835",TN Fentress
2447,Franklin,TN,"43,196",TN Franklin
2448,Gibson,TN,"50,468",TN Gibson
2449,Giles,TN,"30,401",TN Giles
2450,Grainger,TN,"23,800",TN Grainger
2451,Greene,TN,"70,565",TN Greene
2452,Grundy,TN,"13,587",TN Grundy
2453,Hamblen,TN,"64,360",TN Hamblen
2454,Hamilton,TN,"369,005",TN Hamilton
2455,Hancock,TN,"6,794",TN Hancock
2456,Hardeman,TN,"25,260",TN Hardeman
2457,Hardin,TN,"26,871",TN Hardin
2458,Hawkins,TN,"57,202",TN Hawkins
2459,Haywood,TN,"17,691",TN Haywood
2460,Henderson,TN,"27,906",TN Henderson
2461,Henry,TN,"32,246",TN Henry
2462,Hickman,TN,"25,080",TN Hickman
2463,Houston,TN,"8,298",TN Houston
2464,Humphreys,TN,"19,178",TN Humphreys
2465,Jackson,TN,"11,771",TN Jackson
2466,Jefferson,TN,"55,547",TN Jefferson
2467,Johnson,TN,"18,053",TN Johnson
2468,Knox,TN,"485,941",TN Knox
2469,Lake,TN,"6,596",TN Lake
2470,Lauderdale,TN,"24,878",TN Lauderdale
2471,Lawrence,TN,"44,768",TN Lawrence
2472,Lewis,TN,"12,852",TN Lewis
2473,Lincoln,TN,"35,435",TN Lincoln
2474,Loudon,TN,"56,785",TN Loudon
2475,McMinn,TN,"53,921",TN McMinn
2476,McNairy,TN,"25,846",TN McNairy
2477,Macon,TN,"25,673",TN Macon
2478,Madison,TN,"98,557",TN Madison
2479,Marion,TN,"28,919",TN Marion
2480,Marshall,TN,"35,059",TN Marshall
2481,Maury,TN,"104,942",TN Maury
2482,Meigs,TN,"13,019",TN Meigs
2483,Monroe,TN,"46,649",TN Monroe
2484,Montgomery,TN,"227,741",TN Montgomery
2485,Moore,TN,"6,651",TN Moore
2486,Morgan,TN,"21,107",TN Morgan
2487,Obion,TN,"30,459",TN Obion
2488,Overton,TN,"22,831",TN Overton
2489,Perry,TN,"8,493",TN Perry
2490,Pickett,TN,"5,069",TN Pickett
2491,Polk,TN,"17,714",TN Polk
2492,Putnam,TN,"81,250",TN Putnam
2493,Rhea,TN,"33,189",TN Rhea
2494,Roane,TN,"54,088",TN Roane
2495,Robertson,TN,"74,031",TN Robertson
2496,Rutherford,TN,"351,194",TN Rutherford
2497,Scott,TN,"21,891",TN Scott
2498,Sequatchie,TN,"16,448",TN Sequatchie
2499,Sevier,TN,"99,435",TN Sevier
2500,Shelby,TN,"923,382",TN Shelby
2501,Smith,TN,"20,169",TN Smith
2502,Stewart,TN,"13,808",TN Stewart
2503,Sullivan,TN,"159,212",TN Sullivan
2504,Sumner,TN,"200,505",TN Sumner
2505,Tipton,TN,"61,059",TN Tipton
2506,Trousdale,TN,"11,605",TN Trousdale
2507,Unicoi,TN,"17,631",TN Unicoi
2508,Union,TN,"20,013",TN Union
2509,Van Buren,TN,"6,293",TN Van Buren
2510,Warren,TN,"41,468",TN Warren
2511,Washington,TN,"133,460",TN Washington
2512,Wayne,TN,"16,329",TN Wayne
2513,Weakley,TN,"32,883",TN Weakley
2514,White,TN,"27,541",TN White
2515,Williamson,TN,"256,065",TN Williamson
2516,Wilson,TN,"152,036",TN Wilson
2517,Anderson,TX,"58,302",TX Anderson
2518,Andrews,TX,"18,411",TX Andrews
2519,Angelina,TX,"86,730",TX Angelina
2520,Aransas,TX,"24,510",TX Aransas
2521,Archer,TX,"8,702",TX Archer
2522,Armstrong,TX,"1,840",TX Armstrong
2523,Atascosa,TX,"49,817",TX Atascosa
2524,Austin,TX,"30,431",TX Austin
2525,Bailey,TX,"6,803",TX Bailey
2526,Bandera,TX,"21,528",TX Bandera
2527,Bastrop,TX,"102,276",TX Bastrop
2528,Baylor,TX,"3,458",TX Baylor
2529,Bee,TX,"30,836",TX Bee
2530,Bell,TX,"380,399",TX Bell
2531,Bexar,TX,"2,030,981",TX Bexar
2532,Blanco,TX,"11,882",TX Blanco
2533,Borden,TX,618,TX Borden
2534,Bosque,TX,"18,499",TX Bosque
2535,Bowie,TX,"92,282",TX Bowie
2536,Brazoria,TX,"379,121",TX Brazoria
2537,Brazos,TX,"237,612",TX Brazos
2538,Brewster,TX,"9,473",TX Brewster
2539,Briscoe,TX,"1,400",TX Briscoe
2540,Brooks,TX,"6,969",TX Brooks
2541,Brown,TX,"38,135",TX Brown
2542,Burleson,TX,"18,109",TX Burleson
2543,Burnet,TX,"51,146",TX Burnet
2544,Caldwell,TX,"46,940",TX Caldwell
2545,Calhoun,TX,"19,782",TX Calhoun
2546,Callahan,TX,"14,098",TX Callahan
2547,Cameron,TX,"422,636",TX Cameron
2548,Camp,TX,"12,602",TX Camp
2549,Carson,TX,"5,714",TX Carson
2550,Cass,TX,"28,573",TX Cass
2551,Castro,TX,"7,366",TX Castro
2552,Chambers,TX,"48,727",TX Chambers
2553,Cherokee,TX,"51,150",TX Cherokee
2554,Childress,TX,"6,787",TX Childress
2555,Clay,TX,"10,311",TX Clay
2556,Cochran,TX,"2,480",TX Cochran
2557,Coke,TX,"3,304",TX Coke
2558,Coleman,TX,"7,722",TX Coleman
2559,Collin,TX,"1,114,661",TX Collin
2560,Collingsworth,TX,"2,607",TX Collingsworth
2561,Colorado,TX,"20,642",TX Colorado
2562,Comal,TX,"174,977",TX Comal
2563,Comanche,TX,"13,805",TX Comanche
2564,Concho,TX,"3,348",TX Concho
2565,Cooke,TX,"42,398",TX Cooke
2566,Coryell,TX,"84,389",TX Coryell
2567,Cottle,TX,"1,355",TX Cottle
2568,Crane,TX,"4,636",TX Crane
2569,Crockett,TX,"3,013",TX Crockett
2570,Crosby,TX,"5,085",TX Crosby
2571,Culberson,TX,"2,182",TX Culberson
2572,Dallam,TX,"7,175",TX Dallam
2573,Dallas,TX,"2,588,235",TX Dallas
2574,Dawson,TX,"12,367",TX Dawson
2575,Deaf Smith,TX,"18,379",TX Deaf Smith
2576,Delta,TX,"5,344",TX Delta
2577,Denton,TX,"943,883",TX Denton
2578,DeWitt,TX,"19,949",TX DeWitt
2579,Dickens,TX,"1,734",TX Dickens
2580,Dimmit,TX,"8,479",TX Dimmit
2581,Donley,TX,"3,361",TX Donley
2582,Duval,TX,"9,998",TX Duval
2583,Eastland,TX,"17,826",TX Eastland
2584,Ector,TX,"160,758",TX Ector
2585,Edwards,TX,"1,429",TX Edwards
2586,Ellis,TX,"203,187",TX Ellis
2587,El Paso,TX,"867,499",TX El Paso
2588,Erath,TX,"43,381",TX Erath
2589,Falls,TX,"17,113",TX Falls
2590,Fannin,TX,"36,723",TX Fannin
2591,Fayette,TX,"24,690",TX Fayette
2592,Fisher,TX,"3,675",TX Fisher
2593,Floyd,TX,"5,292",TX Floyd
2594,Foard,TX,"1,056",TX Foard
2595,Fort Bend,TX,"860,305",TX Fort Bend
2596,Franklin,TX,"10,497",TX Franklin
2597,Freestone,TX,"19,788",TX Freestone
2598,Frio,TX,"17,543",TX Frio
2599,Gaines,TX,"21,878",TX Gaines
2600,Galveston,TX,"355,560",TX Galveston
2601,Garza,TX,"6,269",TX Garza
2602,Gillespie,TX,"27,293",TX Gillespie
2603,Glasscock,TX,"1,136",TX Glasscock
2604,Goliad,TX,"7,133",TX Goliad
2605,Gonzales,TX,"19,636",TX Gonzales
2606,Gray,TX,"21,128",TX Gray
2607,Grayson,TX,"139,563",TX Grayson
2608,Gregg,TX,"124,130",TX Gregg
2609,Grimes,TX,"30,145",TX Grimes
2610,Guadalupe,TX,"177,301",TX Guadalupe
2611,Hale,TX,"32,208",TX Hale
2612,Hall,TX,"2,842",TX Hall
2613,Hamilton,TX,"8,230",TX Hamilton
2614,Hansford,TX,"5,120",TX Hansford
2615,Hardeman,TX,"3,546",TX Hardeman
2616,Hardin,TX,"57,133",TX Hardin
2617,Harris,TX,"4,735,517",TX Harris
2618,Harrison,TX,"69,527",TX Harrison
2619,Hartley,TX,"5,393",TX Hartley
2620,Haskell,TX,"5,375",TX Haskell
2621,Hays,TX,"255,955",TX Hays
2622,Hemphill,TX,"3,324",TX Hemphill
2623,Henderson,TX,"83,653",TX Henderson
2624,Hidalgo,TX,"879,865",TX Hidalgo
2625,Hill,TX,"36,378",TX Hill
2626,Hockley,TX,"21,265",TX Hockley
2627,Hood,TX,"64,293",TX Hood
2628,Hopkins,TX,"37,210",TX Hopkins
2629,Houston,TX,"21,962",TX Houston
2630,Howard,TX,"34,365",TX Howard
2631,Hudspeth,TX,"3,275",TX Hudspeth
2632,Hunt,TX,"103,591",TX Hunt
2633,Hutchinson,TX,"20,438",TX Hutchinson
2634,Irion,TX,"1,534",TX Irion
2635,Jack,TX,"8,550",TX Jack
2636,Jackson,TX,"15,118",TX Jackson
2637,Jasper,TX,"32,552",TX Jasper
2638,Jeff Davis,TX,"1,959",TX Jeff Davis
2639,Jefferson,TX,"253,727",TX Jefferson
2640,Jim Hogg,TX,"4,790",TX Jim Hogg
2641,Jim Wells,TX,"38,893",TX Jim Wells
2642,Johnson,TX,"187,511",TX Johnson
2643,Jones,TX,"19,811",TX Jones
2644,Karnes,TX,"14,732",TX Karnes
2645,Kaufman,TX,"158,313",TX Kaufman
2646,Kendall,TX,"46,861",TX Kendall
2647,Kenedy,TX,339,TX Kenedy
2648,Kent,TX,748,TX Kent
2649,Kerr,TX,"53,175",TX Kerr
2650,Kimble,TX,"4,348",TX Kimble
2651,King,TX,256,TX King
2652,Kinney,TX,"3,122",TX Kinney
2653,Kleberg,TX,"30,625",TX Kleberg
2654,Knox,TX,"3,318",TX Knox
2655,Lamar,TX,"50,349",TX Lamar
2656,Lamb,TX,"12,909",TX Lamb
2657,Lampasas,TX,"22,224",TX Lampasas
2658,La Salle,TX,"6,708",TX La Salle
2659,Lavaca,TX,"20,538",TX Lavaca
2660,Lee,TX,"17,679",TX Lee
2661,Leon,TX,"16,009",TX Leon
2662,Liberty,TX,"97,488",TX Liberty
2663,Limestone,TX,"22,060",TX Limestone
2664,Lipscomb,TX,"2,895",TX Lipscomb
2665,Live Oak,TX,"11,386",TX Live Oak
2666,Llano,TX,"22,056",TX Llano
2667,Loving,TX,54,TX Loving
2668,Lubbock,TX,"314,642",TX Lubbock
2669,Lynn,TX,"5,645",TX Lynn
2670,McCulloch,TX,"7,522",TX McCulloch
2671,McLennan,TX,"263,721",TX McLennan
2672,McMullen,TX,592,TX McMullen
2673,Madison,TX,"13,512",TX Madison
2674,Marion,TX,"9,620",TX Marion
2675,Martin,TX,"5,214",TX Martin
2676,Mason,TX,"3,929",TX Mason
2677,Matagorda,TX,"36,339",TX Matagorda
2678,Maverick,TX,"57,683",TX Maverick
2679,Medina,TX,"52,328",TX Medina
2680,Menard,TX,"1,968",TX Menard
2681,Midland,TX,"168,257",TX Midland
2682,Milam,TX,"25,212",TX Milam
2683,Mills,TX,"4,489",TX Mills
2684,Mitchell,TX,"9,042",TX Mitchell
2685,Montague,TX,"20,437",TX Montague
2686,Montgomery,TX,"650,755",TX Montgomery
2687,Moore,TX,"21,136",TX Moore
2688,Morris,TX,"12,007",TX Morris
2689,Motley,TX,"1,071",TX Motley
2690,Nacogdoches,TX,"64,778",TX Nacogdoches
2691,Navarro,TX,"53,637",TX Navarro
2692,Newton,TX,"12,212",TX Newton
2693,Nolan,TX,"14,605",TX Nolan
2694,Nueces,TX,"353,292",TX Nueces
2695,Ochiltree,TX,"9,768",TX Ochiltree
2696,Oldham,TX,"1,734",TX Oldham
2697,Orange,TX,"84,666",TX Orange
2698,Palo Pinto,TX,"28,742",TX Palo Pinto
2699,Panola,TX,"22,556",TX Panola
2700,Parker,TX,"157,088",TX Parker
2701,Parmer,TX,"9,784",TX Parmer
2702,Pecos,TX,"15,117",TX Pecos
2703,Polk,TX,"51,877",TX Polk
2704,Potter,TX,"116,461",TX Potter
2705,Presidio,TX,"6,113",TX Presidio
2706,Rains,TX,"12,463",TX Rains
2707,Randall,TX,"144,055",TX Randall
2708,Reagan,TX,"3,222",TX Reagan
2709,Real,TX,"2,817",TX Real
2710,Red River,TX,"11,561",TX Red River
2711,Reeves,TX,"12,981",TX Reeves
2712,Refugio,TX,"6,704",TX Refugio
2713,Roberts,TX,801,TX Roberts
2714,Robertson,TX,"16,946",TX Robertson
2715,Rockwall,TX,"116,612",TX Rockwall
2716,Runnels,TX,"9,892",TX Runnels
2717,Rusk,TX,"52,695",TX Rusk
2718,Sabine,TX,"10,013",TX Sabine
2719,San Augustine,TX,"7,905",TX San Augustine
2720,San Jacinto,TX,"27,811",TX San Jacinto
2721,San Patricio,TX,"69,767",TX San Patricio
2722,San Saba,TX,"5,829",TX San Saba
2723,Schleicher,TX,"2,438",TX Schleicher
2724,Scurry,TX,"16,837",TX Scurry
2725,Shackelford,TX,"3,191",TX Shackelford
2726,Shelby,TX,"23,984",TX Shelby
2727,Sherman,TX,"2,789",TX Sherman
2728,Smith,TX,"237,182",TX Smith
2729,Somervell,TX,"9,477",TX Somervell
2730,Starr,TX,"65,858",TX Starr
2731,Stephens,TX,"9,433",TX Stephens
2732,Sterling,TX,"1,380",TX Sterling
2733,Stonewall,TX,"1,211",TX Stonewall
2734,Sutton,TX,"3,291",TX Sutton
2735,Swisher,TX,"7,007",TX Swisher
2736,Tarrant,TX,"2,129,695",TX Tarrant
2737,Taylor,TX,"143,922",TX Taylor
2738,Terrell,TX,721,TX Terrell
2739,Terry,TX,"11,714",TX Terry
2740,Throckmorton,TX,"1,503",TX Throckmorton
2741,Titus,TX,"31,260",TX Titus
2742,Tom Green,TX,"119,231",TX Tom Green
2743,Travis,TX,"1,308,868",TX Travis
2744,Trinity,TX,"13,832",TX Trinity
2745,Tyler,TX,"19,898",TX Tyler
2746,Upshur,TX,"41,835",TX Upshur
2747,Upton,TX,"3,233",TX Upton
2748,Uvalde,TX,"24,803",TX Uvalde
2749,Val Verde,TX,"47,533",TX Val Verde
2750,Van Zandt,TX,"61,253",TX Van Zandt
2751,Victoria,TX,"90,896",TX Victoria
2752,Walker,TX,"78,348",TX Walker
2753,Waller,TX,"59,419",TX Waller
2754,Ward,TX,"11,081",TX Ward
2755,Washington,TX,"35,947",TX Washington
2756,Webb,TX,"267,400",TX Webb
2757,Wharton,TX,"41,652",TX Wharton
2758,Wheeler,TX,"4,886",TX Wheeler
2759,Wichita,TX,"130,073",TX Wichita
2760,Wilbarger,TX,"12,703",TX Wilbarger
2761,Willacy,TX,"20,292",TX Willacy
2762,Williamson,TX,"644,595",TX Williamson
2763,Wilson,TX,"51,307",TX Wilson
2764,Winkler,TX,"7,382",TX Winkler
2765,Wise,TX,"71,871",TX Wise
2766,Wood,TX,"46,076",TX Wood
2767,Yoakum,TX,"7,563",TX Yoakum
2768,Young,TX,"17,943",TX Young
2769,Zapata,TX,"13,875",TX Zapata
2770,Zavala,TX,"9,473",TX Zavala
2771,Beaver,UT,"7,213",UT Beaver
2772,Box Elder,UT,"59,685",UT Box Elder
2773,Cache,UT,"137,458",UT Cache
2774,Carbon,UT,"20,360",UT Carbon
2775,Daggett,UT,982,UT Daggett
2776,Davis,UT,"367,504",UT Davis
2777,Duchesne,UT,"19,792",UT Duchesne
2778,Emery,UT,"9,965",UT Emery
2779,Garfield,UT,"5,126",UT Garfield
2780,Grand,UT,"9,671",UT Grand
2781,Iron,UT,"60,520",UT Iron
2782,Juab,UT,"12,205",UT Juab
2783,Kane,UT,"7,985",UT Kane
2784,Millard,UT,"13,192",UT Millard
2785,Morgan,UT,"12,662",UT Morgan
2786,Piute,UT,"1,492",UT Piute
2787,Rich,UT,"2,600",UT Rich
2788,Salt Lake,UT,"1,186,312",UT Salt Lake
2789,San Juan,UT,"14,498",UT San Juan
2790,Sanpete,UT,"29,124",UT Sanpete
2791,Sevier,UT,"21,894",UT Sevier
2792,Summit,UT,"43,179",UT Summit
2793,Tooele,UT,"76,775",UT Tooele
2794,Uintah,UT,"36,229",UT Uintah
2795,Utah,UT,"685,973",UT Utah
2796,Wasatch,UT,"36,246",UT Wasatch
2797,Washington,UT,"191,513",UT Washington
2798,Wayne,UT,"2,560",UT Wayne
2799,Weber,UT,"266,569",UT Weber
2800,Addison,VT,"37,408",VT Addison
2801,Bennington,VT,"37,431",VT Bennington
2802,Caledonia,VT,"30,457",VT Caledonia
2803,Chittenden,VT,"169,338",VT Chittenden
2804,Essex,VT,"5,970",VT Essex
2805,Franklin,VT,"50,430",VT Franklin
2806,Grand Isle,VT,"7,428",VT Grand Isle
2807,Lamoille,VT,"26,149",VT Lamoille
2808,Orange,VT,"29,630",VT Orange
2809,Orleans,VT,"27,591",VT Orleans
2810,Rutland,VT,"60,728",VT Rutland
2811,Washington,VT,"60,033",VT Washington
2812,Windham,VT,"46,150",VT Windham
2813,Windsor,VT,"58,350",VT Windsor
2814,Accomack,VA,"33,410",VA Accomack
2815,Albemarle,VA,"113,882",VA Albemarle
2816,Alleghany,VA,"14,988",VA Alleghany
2817,Amelia,VA,"13,306",VA Amelia
2818,Amherst,VA,"31,385",VA Amherst
2819,Appomattox,VA,"16,398",VA Appomattox
2820,Arlington,VA,"233,436",VA Arlington
2821,Augusta,VA,"77,764",VA Augusta
2822,Bath,VA,"4,090",VA Bath
2823,Bedford,VA,"80,242",VA Bedford
2824,Bland,VA,"6,177",VA Bland
2825,Botetourt,VA,"33,998",VA Botetourt
2826,Brunswick,VA,"15,959",VA Brunswick
2827,Buchanan,VA,"19,876",VA Buchanan
2828,Buckingham,VA,"16,950",VA Buckingham
2829,Campbell,VA,"55,344",VA Campbell
2830,Caroline,VA,"31,405",VA Caroline
2831,Carroll,VA,"29,098",VA Carroll
2832,Charles City,VA,"6,608",VA Charles City
2833,Charlotte,VA,"11,499",VA Charlotte
2834,Chesterfield,VA,"370,931",VA Chesterfield
2835,Clarke,VA,"14,940",VA Clarke
2836,Craig,VA,"4,886",VA Craig
2837,Culpeper,VA,"53,772",VA Culpeper
2838,Cumberland,VA,"9,703",VA Cumberland
2839,Dickenson,VA,"13,860",VA Dickenson
2840,Dinwiddie,VA,"27,997",VA Dinwiddie
2841,Essex,VA,"10,571",VA Essex
2842,Fairfax,VA,"1,142,203",VA Fairfax
2843,Fauquier,VA,"74,055",VA Fauquier
2844,Floyd,VA,"15,510",VA Floyd
2845,Fluvanna,VA,"27,797",VA Fluvanna
2846,Franklin,VA,"55,017",VA Franklin
2847,Frederick,VA,"93,959",VA Frederick
2848,Giles,VA,"16,572",VA Giles
2849,Gloucester,VA,"39,174",VA Gloucester
2850,Goochland,VA,"25,529",VA Goochland
2851,Grayson,VA,"15,344",VA Grayson
2852,Greene,VA,"21,004",VA Greene
2853,Greensville,VA,"11,413",VA Greensville
2854,Halifax,VA,"33,777",VA Halifax
2855,Hanover,VA,"111,783",VA Hanover
2856,Henrico,VA,"334,422",VA Henrico
2857,Henry,VA,"50,262",VA Henry
2858,Highland,VA,"2,239",VA Highland
2859,Isle of Wight,VA,"39,391",VA Isle of Wight
2860,James City,VA,"79,991",VA James City
2861,King and Queen,VA,"6,669",VA King and Queen
2862,King George,VA,"27,541",VA King George
2863,King William,VA,"18,243",VA King William
2864,Lancaster,VA,"10,935",VA Lancaster
2865,Lee,VA,"22,005",VA Lee
2866,Loudoun,VA,"428,764",VA Loudoun
2867,Louisa,VA,"39,016",VA Louisa
2868,Lunenburg,VA,"12,001",VA Lunenburg
2869,Madison,VA,"13,957",VA Madison
2870,Mathews,VA,"8,543",VA Mathews
2871,Mecklenburg,VA,"30,333",VA Mecklenburg
2872,Middlesex,VA,"10,779",VA Middlesex
2873,Montgomery,VA,"98,788",VA Montgomery
2874,Nelson,VA,"14,838",VA Nelson
2875,New Kent,VA,"23,963",VA New Kent
2876,Northampton,VA,"12,068",VA Northampton
2877,Northumberland,VA,"12,052",VA Northumberland
2878,Nottoway,VA,"15,574",VA Nottoway
2879,Orange,VA,"37,220",VA Orange
2880,Page,VA,"23,825",VA Page
2881,Patrick,VA,"17,650",VA Patrick
2882,Pittsylvania,VA,"60,038",VA Pittsylvania
2883,Powhatan,VA,"31,230",VA Powhatan
2884,Prince Edward,VA,"21,962",VA Prince Edward
2885,Prince George,VA,"42,962",VA Prince George
2886,Prince William,VA,"485,352",VA Prince William
2887,Pulaski,VA,"33,816",VA Pulaski
2888,Rappahannock,VA,"7,431",VA Rappahannock
2889,Richmond,VA,"9,077",VA Richmond
2890,Roanoke,VA,"96,671",VA Roanoke
2891,Rockbridge,VA,"22,638",VA Rockbridge
2892,Rockingham,VA,"84,518",VA Rockingham
2893,Russell,VA,"25,572",VA Russell
2894,Scott,VA,"21,476",VA Scott
2895,Shenandoah,VA,"44,842",VA Shenandoah
2896,Smyth,VA,"29,608",VA Smyth
2897,Southampton,VA,"18,024",VA Southampton
2898,Spotsylvania,VA,"144,003",VA Spotsylvania
2899,Stafford,VA,"161,568",VA Stafford
2900,Surry,VA,"6,533",VA Surry
2901,Sussex,VA,"10,815",VA Sussex
2902,Tazewell,VA,"39,950",VA Tazewell
2903,Warren,VA,"40,965",VA Warren
2904,Washington,VA,"53,735",VA Washington
2905,Westmoreland,VA,"18,772",VA Westmoreland
2906,Wise,VA,"35,681",VA Wise
2907,Wythe,VA,"28,201",VA Wythe
2908,York,VA,"71,104",VA York
2909,City of Alexandria,VA,"155,105",VA City of Alexandria
2910,City of Bristol,VA,"17,065",VA City of Bristol
2911,City of Buena Vista,VA,"6,622",VA City of Buena Vista
2912,City of Charlottesville,VA,"45,746",VA City of Charlottesville
2913,City of Chesapeake,VA,"251,763",VA City of Chesapeake
2914,City of Colonial Heights,VA,"18,225",VA City of Colonial Heights
2915,City of Covington,VA,"5,716",VA City of Covington
2916,City of Danville,VA,"42,285",VA City of Danville
2917,City of Emporia,VA,"5,638",VA City of Emporia
2918,City of Fairfax,VA,"24,353",VA City of Fairfax
2919,City of Falls Church,VA,"14,516",VA City of Falls Church
2920,City of Franklin,VA,"8,152",VA City of Franklin
2921,City of Fredericksburg,VA,"28,437",VA City of Fredericksburg
2922,City of Galax,VA,"6,653",VA City of Galax
2923,City of Hampton,VA,"137,760",VA City of Hampton
2924,City of Harrisonburg,VA,"51,497",VA City of Harrisonburg
2925,City of Hopewell,VA,"23,073",VA City of Hopewell
2926,City of Lexington,VA,"7,455",VA City of Lexington
2927,City of Lynchburg,VA,"79,114",VA City of Lynchburg
2928,City of Manassas,VA,"42,764",VA City of Manassas
2929,City of Manassas Park,VA,"17,089",VA City of Manassas Park
2930,City of Martinsville,VA,"13,534",VA City of Martinsville
