Unnamed: 0,GeoName,GeoFIPS,Quantity index,Thousands of chained 2012 dollars,Thousands of dollars,County,State,State and County
2463,"Russell, AL"," ""01113""",108.008,1348424,1679025,Russell,AL,AL Russell
2573,"Shelby, AL"," ""01117""",129.702,11270557,13769154,Shelby,AL,AL Shelby
2640,"St Clair, AL"," ""01115""",112.223,1993244,2446517,St Clair,AL,AL St Clair
2717,"Sumter, AL"," ""01119""",84.412,289861,354979,Sumter,AL,AL Sumter
2740,"Talladega, AL"," ""01121""",111.39,3007315,3391884,Talladega,AL,AL Talladega
2742,"Tallapoosa, AL"," ""01123""",112.338,1299756,1576636,Tallapoosa,AL,AL Tallapoosa
2825,"Tuscaloosa, AL"," ""01125""",109.596,10323162,11891483,Tuscaloosa,AL,AL Tuscaloosa
2899,"Walker, AL"," ""01127""",87.46,1566603,1915181,Walker,AL,AL Walker
2937,"Washington, AL"," ""01129""",100.872,754413,967974,Washington,AL,AL Washington
3037,"Wilcox, AL"," ""01131""",96.455,328916,394002,Wilcox,AL,AL Wilcox
3066,"Winston, AL"," ""01133""",115.033,728005,1045869,Winston,AL,AL Winston
81,"Arkansas, AR"," ""05001""",116.699,1052969,1248957,Arkansas,AR,AR Arkansas
91,"Ashley, AR"," ""05003""",74.281,638769,821835,Ashley,AR,AR Ashley
147,"Baxter, AR"," ""05005""",125.003,1364252,1647490,Baxter,AR,AR Baxter
178,"Benton, AR"," ""05007""",156.228,16062651,18538651,Benton,AR,AR Benton
229,"Boone, AR"," ""05009""",108.352,1217234,1539051,Boone,AR,AR Boone
256,"Bradley, AR"," ""05011""",105.391,308359,420336,Bradley,AR,AR Bradley
344,"Calhoun, AR"," ""05013""",129.86,349137,407558,Calhoun,AR,AR Calhoun
390,"Carroll, AR"," ""05015""",129.401,869796,1049964,Carroll,AR,AR Carroll
485,"Chicot, AR"," ""05017""",76.653,253326,319510,Chicot,AR,AR Chicot
527,"Clark, AR"," ""05019""",98.032,690620,916225,Clark,AR,AR Clark
546,"Clay, AR"," ""05021""",86.403,326088,416079,Clay,AR,AR Clay
570,"Cleburne, AR"," ""05023""",89.749,726944,733576,Cleburne,AR,AR Cleburne
572,"Cleveland, AR"," ""05025""",126.532,138322,159221,Cleveland,AR,AR Cleveland
611,"Columbia, AR"," ""05027""",92.203,821461,1019951,Columbia,AR,AR Columbia
632,"Conway, AR"," ""05029""",90.143,833848,856383,Conway,AR,AR Conway
658,"Craighead, AR"," ""05031""",124.705,4687736,5806904,Craighead,AR,AR Craighead
661,"Crawford, AR"," ""05033""",102.801,1603953,2011103,Crawford,AR,AR Crawford
675,"Crittenden, AR"," ""05035""",114.934,1614477,1977793,Crittenden,AR,AR Crittenden
682,"Cross, AR"," ""05037""",94.66,410290,508208,Cross,AR,AR Cross
715,"Dallas, AR"," ""05039""",110.624,213031,309609,Dallas,AR,AR Dallas
777,"Desha, AR"," ""05041""",100.432,516189,596707,Desha,AR,AR Desha
824,"Drew, AR"," ""05043""",100.168,563856,704621,Drew,AR,AR Drew
913,"Faulkner, AR"," ""05045""",95.651,3574870,4231942,Faulkner,AR,AR Faulkner
958,"Franklin, AR"," ""05047""",107.744,434902,496629,Franklin,AR,AR Franklin
993,"Fulton, AR"," ""05049""",99.387,169793,214707,Fulton,AR,AR Fulton
1017,"Garland, AR"," ""05051""",107.316,3164010,3907112,Garland,AR,AR Garland
1079,"Grant, AR"," ""05053""",122.72,414064,526659,Grant,AR,AR Grant
1111,"Greene, AR"," ""05055""",103.407,1399980,1684183,Greene,AR,AR Greene
1235,"Hempstead, AR"," ""05057""",133.412,930944,1158094,Hempstead,AR,AR Hempstead
1292,"Hot Spring, AR"," ""05059""",104.313,904301,1193574,Hot Spring,AR,AR Hot Spring
1300,"Howard, AR"," ""05061""",112.878,576614,695633,Howard,AR,AR Howard
1334,"Independence, AR"," ""05063""",97.011,1624623,2008754,Independence,AR,AR Independence
1358,"Izard, AR"," ""05065""",89.464,254670,317535,Izard,AR,AR Izard
1361,"Jackson, AR"," ""05067""",108.207,606422,725487,Jackson,AR,AR Jackson
1399,"Jefferson, AR"," ""05069""",86.49,2848240,3531670,Jefferson,AR,AR Jefferson
1434,"Johnson, AR"," ""05071""",110.629,692669,778614,Johnson,AR,AR Johnson
1548,"Lafayette, AR"," ""05073""",84.336,145295,159515,Lafayette,AR,AR Lafayette
1602,"Lawrence, AR"," ""05075""",101.979,399878,494044,Lawrence,AR,AR Lawrence
1619,"Lee, AR"," ""05077""",74.754,159360,206650,Lee,AR,AR Lee
1657,"Lincoln, AR"," ""05079""",102.972,251974,305617,Lincoln,AR,AR Lincoln
1687,"Little River, AR"," ""05081""",80.871,442105,523159,Little River,AR,AR Little River
