GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "01011","Bullock, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",103.534,107.114,105.759,104.355,102.894,106.538,100.143,99.455,112.009,105.715,101.081,108.341,98.776,92.802,90.935,99.646,100.000,104.921,108.684,109.722,105.375,100.998
 "01011","Bullock, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",175064,184625,187913,191745,190022,199763,196703,201177,229522,222175,221503,244911,230567,219838,218211,240527,244958,259251,274471,285245,292169,294277
 "01013","Butler, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",461352,477532,498974,522962,515349,511149,543165,529879,495982,577171,601003,588210,594973,597419,620733,611955,630225,653349,638217,603301,634002,652201
 "01013","Butler, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.204,75.772,79.174,82.980,81.772,81.106,86.186,84.078,78.699,91.582,95.363,93.333,94.406,94.795,98.494,97.101,100.000,103.669,101.268,95.728,100.599,103.487
 "01013","Butler, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",363625,379139,405478,441991,438602,442919,481543,474064,444955,524241,550388,551674,570775,584623,607347,598885,630225,666661,658243,636591,732165,820976
 "01015","Calhoun, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3738470,3845020,3998886,4325523,4567037,4568102,4698563,4766737,4506202,4705487,4460812,4463867,4347654,4186770,4145820,4201651,4244400,4342966,4555074,4461364,4624647,4608415
 "01015","Calhoun, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.080,90.590,94.216,101.911,107.601,107.627,110.700,112.307,106.168,110.863,105.099,105.171,102.433,98.642,97.677,98.993,100.000,102.322,107.320,105.112,108.959,108.576
 "01015","Calhoun, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2755806,2890197,3056854,3399881,3686250,3805029,4016948,4148936,4008664,4227746,4071263,4135517,4073416,4008257,4032124,4124669,4244400,4456595,4755016,4727646,5142683,5466368
 "01017","Chambers, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",915157,943089,868308,946069,900883,851363,842650,736784,695441,753592,824718,806939,845763,835370,857265,875192,872734,909826,938023,880665,871486,894548
 "01017","Chambers, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",104.861,108.062,99.493,108.403,103.225,97.551,96.553,84.423,79.685,86.348,94.498,92.461,96.910,95.719,98.228,100.282,100.000,104.250,107.481,100.909,99.857,102.500
 "01017","Chambers, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",704511,734954,674290,742554,717207,698390,703873,623722,606943,661077,728849,730089,780345,785247,836391,864741,872734,921262,962243,922772,945282,1031827
 "01019","Cherokee, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",414610,413841,437043,475086,464946,483942,504792,523109,476809,508052,513632,528911,567565,557528,568884,562801,558805,592093,575624,536093,595234,606899
 "01019","Cherokee, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.196,74.058,78.210,85.018,83.204,86.603,90.334,93.612,85.327,90.918,91.916,94.650,101.568,99.772,101.804,100.715,100.000,105.957,103.010,95.936,106.519,108.607
 "01019","Cherokee, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",308803,312404,335164,373100,370578,394358,421951,443208,413057,444080,462423,487261,535351,535539,555496,551657,558805,600426,594576,566821,663952,735077
 "01021","Chilton, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",703975,729784,762299,811847,830594,844397,852938,812166,795685,819486,884721,916574,969262,908802,940046,972795,983589,1032448,1114286,1065893,1086812,1077591
 "01021","Chilton, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.572,74.196,77.502,82.539,84.445,85.849,86.717,82.572,80.896,83.316,89.948,93.187,98.543,92.397,95.573,98.903,100.000,104.967,113.288,108.368,110.495,109.557
 "01021","Chilton, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",503927,532159,568191,625647,656646,686753,711152,685864,689960,713462,774649,822012,888321,856050,913122,959362,983589,1055223,1160363,1140799,1244667,1323268
 "01023","Choctaw, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",681647,598693,563086,651243,721748,770502,651142,625145,419040,444930,486556,591419,596698,588532,555869,546607,556183,602860,559692,561198,573867,611338
